Acronym,Authors,Year,LongDescription,Journal,Detailed Definition
AbnormalAccruals,Xie,2001,Abnormal Accruals,AR,"Define Accruals as net income (ib) minus operating cash flow (oancf), divided by average total assets (at) for years t-1 and t. If oancf is missing, replace operating cash flow with funds from operations (fopt) minus the annual change in total current assets (act) plus the annual change in cash and short-term investments (che) plus the annual change in current liabilities (lct) minus the annual change in debt in current liabilities (dlc). For each year t and 2-digit sic code, regress Accruals on: the inverse of average total assets for year t-1, the change in revenue (sale) from year t-1 to t divided by total assets for t-1, propery plant and equipment (ppegt) divided by total assets for t-1.  AbnormalAccrual is the residual from this cross-sectional regression.  See code for more details."
Accruals,Sloan,1996,Accruals,AR,"Accruals = ( (act - l12.act) - (che - l12.che) - ( (lct - l12.lct) - (dlc - l12.dlc) - (tempTXP - l12.tempTXP) ) - dp ) / ( (at + l12.at)/2), where tempTXP is either txp or 0 (if txp is missing)."
AccrualsBM,Bartov and Kim,2004,Book-to-market and accruals,RFQA,"Binary variable equal to 1 if stock is in the highest Accrual quintile and the lowest BM quintile, and equal to 0 if stock is in the lowest Accrual quintile and the highest BM quintile. Exclude if book equity (ceq) is negative."
Activism1,Cremers and Nair,2005,Takeover vulnerability,JF,"24 minus Governance Index (G). Set to missing if G is missing, or if not in the highest quartile of institutional ownership (maxinstown\_perc), or if dual share class."
AM,Fama and French,1992,Total assets to market,JF,Total assets (at) divided by market value of equity.
AnalystRevision,"Hawkins, Chamberlin, Daniel",1984,EPS forecast revision,FAJ,"keep fpi == ""1"", last obs each month.  Signal is meanest / last month's meanest."
AnnouncementReturn,"Chan, Jegadeesh and Lakonishok",1996,Earnings announcement return,JF,Get announcement date for quarterly earnings from IBES (fpi = 6). AnnouncementReturn is the sum of (ret - mktrf + rf) from two days before an earnings announcement to 1 days after the announcement.
AssetGrowth,"Cooper, Gulen and Schill",2008,Asset growth,JF,Annual growth rate of total assets (at)
BetaLiquidityPS,Pastor and Stambaugh,2003,Pastor-Stambaugh liquidity beta,JPE,"Monthly excess return (ret -rf) regressed on innovations in liquidity from Pastor's website (\url{https://faculty.chicagobooth.edu/lubos.pastor/research/liq_data_1962_2018.txt}). Use 60 month rolling window regression, and require at least 36 non-missing observations."
BetaTailRisk,Kelly and Jiang,2014,Tail risk beta,RFS,"Each month, compute the 5th percentile over daily returns over all firms. For all daily return observations with return below that 5th percentile, compute the average of (log(ret/5th percentile of cross-sectional return distribution). Call that average tailEX. BetaTailRisk is the coefficient of a 120-month rolling regression of a firm's stock return on tailEX. Exclude if price less than 5 or share code greater than 11."
